age,education_num,hours_per_week,capital_gain,capital_loss,income_bracket,taxable_income,effective_tax_rate,actual
90,9,40,0,4356,<=50K,8556.44,0.100000,855.64
82,9,18,0,4356,<=50K,8236.44,0.100000,823.64
41,10,40,0,3900,<=50K,8401.00,0.100000,840.10
74,16,20,0,3683,>50K,54523.17,0.186462,10166.49
45,16,35,0,3004,>50K,53369.96,0.184441,9843.59
32,14,55,0,2824,>50K,51501.76,0.180974,9320.49
22,12,40,0,2824,>50K,45371.76,0.167595,7604.09
21,11,40,0,2603,<=50K,9573.97,0.100000,957.40
53,9,40,99999,0,>50K,44119.97,0.166002,7323.99
43,13,60,99999,0,>50K,53919.97,0.185415,9997.59
22,9,40,99999,0,>50K,42999.97,0.165116,7099.99
26,15,60,99999,0,>50K,56839.97,0.190274,10815.19
